,priority,q_time,consult_time
239,3.0,28.63411477220825,25.009945465361852
241,3.0,32.02735660941971,19.464542273461575
240,3.0,39.417192850635274,28.06247889088172
243,1.0,3.686417478838848,17.763402621969817
244,3.0,0.0,15.488634753755377
246,1.0,0.0,19.628963122647292
245,1.0,0.0,25.989185649947103
247,2.0,16.08931349476552,13.270353043219075
249,3.0,14.148945426929458,4.17721138730667
248,2.0,18.225735225670633,13.96661429509686
250,1.0,1.5716855773071075,15.04950423399896
251,3.0,0.0,0.30818520427283147
252,3.0,0.0,19.81101870746579
253,1.0,0.0,20.486036153364694
254,2.0,0.0,19.569059916501374
255,1.0,0.0,28.548718543730047
256,2.0,0.0,17.084583967837716
257,1.0,0.0,32.361742628871525
260,1.0,6.330359243259409,18.147648928729268
259,3.0,33.05851091739942,11.323154652090125
258,3.0,31.950491201344903,19.678866635427312
262,1.0,5.295474977704544,24.031048701071995
263,1.0,0.999763505163628,19.8293798587365
264,3.0,5.857726301424464,13.986853077233263
261,3.0,38.37538524668844,33.067367014170486
265,1.0,10.649678630931703,19.8225201202099
268,2.0,0.8305792177802687,10.915973343899168
271,1.0,9.058530829093343,4.100154054832728
270,1.0,2.0345121582754473,16.972493462041257
272,1.0,12.514915110422862,19.391359468116207
266,3.0,34.79547690985737,25.817147308053336
273,1.0,4.60869369742295,16.55924600112121
274,1.0,12.390164583885053,12.55715093868639
275,1.0,6.471750699068252,12.466364353947029
267,3.0,62.83141173153581,18.274137442400388
276,1.0,1.5936149157055297,17.176669927048806
277,3.0,7.249690053025461,20.01936983332189
269,3.0,76.97979969343305,25.990436368564588
281,2.0,8.66160767654128,21.103784152679054
278,3.0,29.543332325593838,18.61139118351275
286,2.0,8.423331634605802,15.121387076575047
285,1.0,9.800770227904195,20.249030608666544
287,2.0,21.59874249264567,19.532303663302173
289,1.0,8.495800968503772,19.39765101071589
279,3.0,63.87030157025856,34.27932143757016
290,2.0,14.697889256301096,21.860178313956567
291,2.0,14.73947529099678,24.49414733186677
293,2.0,3.540006525778608,17.969469085555374
280,3.0,113.34247471910112,16.667641425920465
296,1.0,0.8364124372033075,11.736144495487224
297,1.0,1.8106021084513486,13.407607813139293
300,1.0,3.6459978470284113,4.804266372992515
